title,description,repo_url,github_url,github_stars,language,published_date,source_url,source_name,owner
deepcluster,Deep Clustering for Unsupervised Learning of Visual Features,https://github.com/facebookresearch/deepcluster,https://github.com/facebookresearch/deepcluster,1744,Python,2018-08-09T14:06:54+00:00Z,https://github.com/facebookresearch/deepcluster,GitHub,facebookresearch
deep-motion-editing,An end-to-end library for editing and rendering motion of 3D characters with deep learning [SIGGRAPH 2020],https://github.com/DeepMotionEditing/deep-motion-editing,https://github.com/DeepMotionEditing/deep-motion-editing,1716,Python,2020-04-20T04:17:59+00:00Z,https://github.com/DeepMotionEditing/deep-motion-editing,GitHub,DeepMotionEditing
DeepRecommender,Deep learning for recommender systems,https://github.com/NVIDIA/DeepRecommender,https://github.com/NVIDIA/DeepRecommender,1702,Python,2017-09-08T20:48:44+00:00Z,https://github.com/NVIDIA/DeepRecommender,GitHub,NVIDIA
pytorch_tabular,A unified framework for Deep Learning Models on tabular data,https://github.com/pytorch-tabular/pytorch_tabular,https://github.com/pytorch-tabular/pytorch_tabular,1675,Python,2020-12-15T07:17:03+00:00Z,https://github.com/pytorch-tabular/pytorch_tabular,GitHub,pytorch-tabular
d3rlpy,An offline deep reinforcement learning library,https://github.com/takuseno/d3rlpy,https://github.com/takuseno/d3rlpy,1673,Python,2020-05-23T15:51:51+00:00Z,https://github.com/takuseno/d3rlpy,GitHub,takuseno
Rainbow,Rainbow: Combining Improvements in Deep Reinforcement Learning,https://github.com/Kaixhin/Rainbow,https://github.com/Kaixhin/Rainbow,1673,Python,2017-10-09T07:21:24+00:00Z,https://github.com/Kaixhin/Rainbow,GitHub,Kaixhin
dlrover,DLRover: An Automatic Distributed Deep Learning System,https://github.com/intelligent-machine-learning/dlrover,https://github.com/intelligent-machine-learning/dlrover,1672,Python,2022-06-24T09:31:07+00:00Z,https://github.com/intelligent-machine-learning/dlrover,GitHub,intelligent-machine-learning
deep-head-pose,:fire::fire: Deep Learning Head Pose Estimation using PyTorch.,https://github.com/natanielruiz/deep-head-pose,https://github.com/natanielruiz/deep-head-pose,1663,Python,2017-11-29T05:16:12+00:00Z,https://github.com/natanielruiz/deep-head-pose,GitHub,natanielruiz
dl-4-tsc,Deep Learning for Time Series Classification,https://github.com/hfawaz/dl-4-tsc,https://github.com/hfawaz/dl-4-tsc,1659,Python,2018-09-10T08:22:38+00:00Z,https://github.com/hfawaz/dl-4-tsc,GitHub,hfawaz
distribution-is-all-you-need,The basic distribution probability Tutorial for Deep Learning Researchers,https://github.com/graykode/distribution-is-all-you-need,https://github.com/graykode/distribution-is-all-you-need,1640,Python,2019-09-06T04:35:53+00:00Z,https://github.com/graykode/distribution-is-all-you-need,GitHub,graykode
